B/U;dependent;independent;AUC;eta;depth;f1;cm
B;0;((13, 14), (6, 7), (9, 10, 12));0.715947352311;0.05;10;0.422535211268;[86 13 69 30]
B;0;((13, 14), (6, 7), (9, 10, 12));0.693007401341;0.05;12;0.0166756320602;[20388  3588    68    31]
B;0;((13, 14), (6, 7), (4, 5, 8));0.600142842567;0.1;12;0.690196078431;[31 68 11 88]
B;0;((13, 14), (6, 7), (4, 5, 8));0.608026587193;0.1;12;0.0103914506701;[ 7226 16750    11    88]
B;0;((13, 14), (9, 10, 12), (4, 5, 8));0.691562085501;0.1;8;0.413793103448;[83 16 69 30]
B;0;((13, 14), (9, 10, 12), (4, 5, 8));0.685174020822;0.1;8;0.0159914712154;[20353  3623    69    30]
B;0;((6, 7), (9, 10, 12), (4, 5, 8));0.669523518008;0.2;8;0.418918918919;[81 18 68 31]
B;0;((6, 7), (9, 10, 12), (4, 5, 8));0.643867141552;0.05;12;0.0121389702805;[19326  4650    70    29]
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.786705438221;0.05;12;0.75;[68 31 21 78]
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.770214448455;0.05;10;0.0185698782105;[15859  8117    22    77]
B;0;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.73166003469;0.05;10;0.707547169811;[61 38 24 75]
B;0;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.737700663627;0.05;12;0.0160810661967;[15069  8907    26    73]
B;0;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.775941230487;0.05;10;0.734299516908;[67 32 23 76]
B;0;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.763379330509;0.05;10;0.0180265654649;[15719  8257    23    76]
B;0;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.747015610652;0.05;12;0.69;[67 32 30 69]
B;0;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.733524559913;0.05;10;0.0157616323006;[14885  9091    26    73]
B;0;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.69819406183;0.05;8;0.424657534247;[83 16 68 31]
B;0;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.693575941261;0.05;12;0.0167703543414;[20409  3567    68    31]
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.779869401082;0.05;12;0.728155339806;[67 32 24 75]
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.763588714978;0.05;10;0.0180672768335;[15738  8238    23    76]
B;1;((3, 11),);0.577751951331;0.2;8;0.504970178926;[152 112 137 127]
B;1;((3, 11),);0.538114943692;0.2;12;0.0235728736037;[12840 10971   130   134]
B;1;((13, 14),);0.651995810376;0.2;8;0.422391857506;[218  46 181  83]
B;1;((13, 14),);0.6478630484;0.2;8;0.0352816153029;[19453  4358   181    83]
B;1;((6, 7),);0.503543962351;0.05;12;0.0955631399317;[249  15 250  14]
B;1;((6, 7),);0.509654469605;0.05;12;0.0189701897019;[22613  1198   250    14]
B;1;((9, 10, 12),);0.666214703857;0.1;8;0.437017994859;[224  40 179  85]
