Date & Time,Posts in last 24H,Inactivity,First posts,Questions,Sentences/Post,Sentiment,Subjectivity,Words/Sentence
2010-04-10 13:00:00,1,17,0.0,0.0,6.0,0.219270833333,0.561458333333,9.833333333330001
2010-04-12 19:00:00,0,53,0.0,0.8,5.0,0.14,0.2,5.0
2010-04-13 22:00:00,0,26,0.0,0.0,19.0,0.06798245614040001,0.162280701754,6.315789473680001
2010-04-15 10:00:00,0,35,0.0,0.666666666667,6.0,0.0638888888889,0.25,9.666666666669999
2010-04-15 12:00:00,1,1,0.0,0.4,10.0,0.05,0.145416666667,8.6
2010-04-15 16:00:00,2,3,0.0,0.137931034483,29.0,0.0345402298851,0.073908045977,4.75862068966
2010-04-24 21:00:00,0,220,0.0,0.5,6.0,0.06666666666669999,0.1625,8.666666666669999
2010-04-26 21:00:00,0,47,0.0,0.0,11.0,0.125,0.163636363636,3.9090909090900006
2010-04-30 11:00:00,0,85,0.0,0.363636363636,22.0,0.0670454545455,0.156818181818,4.18181818182
2010-05-02 16:00:00,0,52,0.0,0.4,5.0,0.0,0.06,5.6
2010-05-03 20:00:00,0,27,0.0,0.15,20.0,0.0033333333333300003,0.0766666666667,4.5
2010-05-06 18:00:00,0,69,0.0,0.0,4.0,0.1875,0.225,4.75
2010-05-07 11:00:00,1,16,0.0,0.0,20.0,0.0575,0.115,4.85
2010-05-11 15:00:00,0,99,0.0,0.176470588235,17.0,0.132696078431,0.233333333333,5.705882352940001
2010-05-27 09:00:00,0,377,0.0,0.0,4.0,-0.01875,0.1875,9.5
2010-05-27 10:00:00,1,0,0.0,0.222222222222,18.0,0.132484567901,0.347916666667,13.9444444444
2010-05-27 16:00:00,2,5,0.0,0.33333333333299997,18.0,0.090162037037,0.224845679012,8.416666666669999
2010-06-06 09:00:00,0,232,0.0,0.619047619048,21.0,0.023015873015900003,0.230952380952,8.2380952381
2010-06-06 11:00:00,1,1,0.0,0.117647058824,17.0,0.0391503267974,0.286732026144,10.1176470588
